locaties,locations,De locaties zijn geheim,The locations are secret
Kosovo,Kosovo,Kosovo is een republiek op de Balkan,Kosovo is a republic in the Balkans
instaan,guarantee,Zij staan in voor de kwaliteit,They guarantee the quality
klassen,classes,De klassen zijn groot,The classes are large
opgaan,rise,De zon gaat op,The sun rises
dansers,dancers,De dansers bewegen gracieus,The dancers move gracefully
adviseren,advise,Ik adviseer je om te wachten,I advise you to wait
Kodak,Kodak,Kodak maakte camera's,Kodak made cameras
verantwoording,accountability,Hij moet verantwoording afleggen,He must give accountability
opslag,storage,De opslag van data is veilig,The storage of data is secure
durfde,dared,Hij durfde het niet,He did not dare
accenten,accents,De accenten in het Frans zijn belangrijk,The accents in French are important
overbodige,unnecessary,Het is overbodige informatie,It is unnecessary information
elektrisch,electric,De auto is elektrisch,The car is electric
overgaan,pass,Hij gaat over naar de volgende klas,He passes to the next class
ogenschijnlijk,seemingly,Het is ogenschijnlijk eenvoudig,It is seemingly simple
ondergrondse,underground,De ondergrondse trein is snel,The underground train is fast
Noord,north,hij gaat naar het noorden,He goes north
vergelijkt,compares,Hij vergelijkt de twee opties,He compares the two options
opgevat,conceived,Het plan is goed opgevat,The plan is well conceived
visueel,visual,Het is een visueel medium,It is a visual medium
grappige,funny,Het is een grappig verhaal,It is a funny story
Science,science,Science is belangrijk voor de vooruitgang,Science is important for progress
geconcentreerd,concentrated,Hij is geconcentreerd aan het werk,He is concentrated at work
grootmoeder,grandmother,Mijn grootmoeder is tachtig,My grandmother is eighty
vijanden,enemies,De vijanden werden verslagen,The enemies were defeated
Waarop,whereupon,Waarop hij vertrok,Whereupon he left
vasteland,continent,Het Europese vasteland is groot,The European continent is large
chef-kok,chef,De chef-kok bereidt een feestmaal,The chef prepares a feast
renteverhoging,interest rate increase,De renteverhoging is aangekondigd,The interest rate increase has been announced
discrete,discreet,Hij is discreet in zijn werk,He is discreet in his work
diamant,diamond,De diamant is kostbaar,The diamond is precious
investeerder,investor,De investeerder koopt aandelen,The investor buys shares
wereldeconomie,world economy,De wereldeconomie groeit langzaam,The world economy grows slowly
Nm,nm,De golflengte is 500 nm,The wavelength is 500 nm
beweerd,claimed,Hij heeft dat beweerd,He has claimed that
Parlement,parliament,Het parlement stemt over de wet,The parliament votes on the law
regelmatige,regular,Hij komt regelmatig op bezoek,He visits regularly
beschermt,protects,De hond beschermt het huis,The dog protects the house
tong,tongue,Steek je tong uit,Stick out your tongue
opgang,ascent,De opgang van de zon is prachtig,The ascent of the sun is beautiful
weinigen,few,Weinigen weten dat,Few know that
aangelegenheid,matter,Het is een belangrijke aangelegenheid,It is an important matter
stemde,voted,Hij stemde voor het voorstel,He voted for the proposal
grootschalige,large-scale,Het is een grootschalig project,It is a large-scale project
gevoeld,felt,Hij heeft de pijn gevoeld,He has felt the pain
percent,percent,Honderd percent is alles,Hundred percent is everything
kortingen,discounts,De kortingen zijn aantrekkelijk,The discounts are attractive
temperaturen,temperatures,De temperaturen stijgen,Temperatures rise
regelingen,arrangements,De regelingen zijn getroffen,The arrangements have been made
binden,bind,De touwen binden de boot,The ropes bind the boat
vernietiging,destruction,De vernietiging van het bos is tragisch,The destruction of the forest is tragic
wenden,turn,Zij wenden zich tot de overheid,They turn to the government
rondlopen,walk around,Hij loopt rond in het park,He walks around in the park
universum,universe,Het universum is oneindig,The universe is infinite
gesprekspartner,interlocutor,Hij is een goede gesprekspartner,He is a good conversationalist
IS,IS,IS is een terroristische organisatie,IS is a terrorist organization
verzoenen,reconcile,Zij verzoenen zich met elkaar,They reconcile with each other
taxi,taxi,De taxi brengt ons naar het vliegveld,The taxi takes us to the airport
regisseert,directs,Hij regisseert de film,He directs the film
Aziz,Aziz,Aziz is een Arabische naam,Aziz is an Arabic name
giftige,poisonous,De slang is giftig,The snake is poisonous
kapitein,captain,De kapitein stuurt het schip,The captain steers the ship
behoeve,benefit,Ten behoeve van het project,For the benefit of the project
brein,brain,Hij heeft een slim brein,He has a smart brain
geliefd,beloved,Zij is geliefd bij iedereen,She is loved by everyone
aanvulling,supplement,Als aanvulling op het dieet,As a supplement to the diet
deskundige,expert,De deskundige geeft advies,The expert gives advice
benutten,utilize,Benut je kansen,Utilize your opportunities
samenstellen,compile,Zij stellen een rapport samen,They compile a report
volkeren,peoples,De volkeren van de wereld,The peoples of the world
komedie,comedy,De komedie was grappig,The comedy was funny
kasten,cabinets,De kasten zijn van hout,The cabinets are made of wood
BBC,BBC,De BBC is een Britse omroep,The BBC is a British broadcaster
Reden,reason,Wat is de reden,What is the reason
